category,difficulty_tier,text_he,text_en,answer_key_he,answer_key_en
israeli_history,hard,מה שם המסמך שבו הוכרזה הקמת המדינה?,What is the document declaring the state's establishment called?,מגילת העצמאות,The Declaration of Independence
israeli_history,hard,מי היה נשיא המדינה הראשון?,Who was Israel's first president?,חיים ויצמן,Chaim Weizmann
general_knowledge,easy,כמה ימים יש בשבוע?,How many days are there in a week?,7,7
general_knowledge,easy,מה צבע השמיים ביום בהיר?,What color is the sky on a clear day?,כחול,Blue
general_knowledge,easy,"איזו חיה נחשבת ל""מלך החיות""?","Which animal is called the ""king of the animals""?",אריה,Lion
general_knowledge,easy,כמה חודשים יש בשנה?,How many months are there in a year?,12,12
general_knowledge,easy,באיזו יבשת נמצאת מצרים?,Which continent is Egypt located in?,אפריקה,Africa
general_knowledge,easy,איזו שפה מדברים בצרפת?,What language is spoken in France?,צרפתית,French
general_knowledge,medium,מה שם האוקיינוס הגדול בעולם?,What is the largest ocean in the world called?,האוקיינוס השקט,The Pacific Ocean
general_knowledge,medium,כמה יבשות יש בעולם?,How many continents are there in the world?,7,7
general_knowledge,medium,מי צייר את המונה ליזה?,Who painted the Mona Lisa?,לאונרדו דה וינצ'י,Leonardo da Vinci
general_knowledge,medium,מהי בירת יפן?,What is the capital of Japan?,טוקיו,Tokyo
general_knowledge,medium,איזו מתכת נוזלית בטמפרטורת החדר?,Which metal is liquid at room temperature?,כספית,Mercury
general_knowledge,medium,כמה שחקנים יש בקבוצת כדורגל על המגרש?,How many players does a soccer team have on the field?,11,11
general_knowledge,hard,"מי כתב את ""רומיאו ויוליה""?","Who wrote ""Romeo and Juliet""?",וויליאם שייקספיר,William Shakespeare
general_knowledge,hard,מהו ההר הגבוה בעולם?,What is the highest mountain in the world?,הר האוורסט,Mount Everest
general_knowledge,hard,באיזו שנה נחת האדם הראשון על הירח?,In what year did humans first land on the moon?,1969,1969
general_knowledge,hard,מהי בירת אוסטרליה?,What is the capital of Australia?,קנברה,Canberra
general_knowledge,hard,מי המציא את הטלפון?,Who invented the telephone?,אלכסנדר גרהם בל,Alexander Graham Bell
general_knowledge,hard,מהי המדינה הגדולה בעולם משטח?,What is the largest country in the world by area?,רוסיה,Russia
