category,age_band,text_he,text_en,option1,option2,option3,option1_en,option2_en,option3_en,correct_index
israeli_history,10-11,באיזו יבשת נמצאת ישראל?,Which continent is Israel located in?,אסיה,אירופה,אפריקה,Asia,Europe,Africa,0
israeli_history,10-11,מה הצבעים שבדגל ישראל?,What colors are on Israel's flag?,כחול ולבן,כחול ולבן ואדום,ירוק ולבן,Blue and white,"Blue, white and red",Green and white,0
israeli_history,10-11,באיזה יום בשבוע חל השבת?,On which day of the week is Shabbat?,שבת,ראשון,שישי,Saturday,Sunday,Friday,0
israeli_history,12-13,מי היה ראש הממשלה הראשון של ישראל?,Who was Israel's first Prime Minister?,דוד בן-גוריון,משה שרת,לוי אשכול,David Ben-Gurion,Moshe Sharett,Levi Eshkol,0
israeli_history,12-13,באיזו עיר הוכרזה העצמאות?,In which city was independence declared?,תל אביב,ירושלים,חיפה,Tel Aviv,Jerusalem,Haifa,0
israeli_history,12-13,מה שם המלחמה שפרצה ב-1967?,What was the war that broke out in 1967 called?,מלחמת ששת הימים,מלחמת יום כיפור,מבצע קדש,The Six-Day War,The Yom Kippur War,Operation Kadesh,0
israeli_history,12-13,מי הייתה ראשת הממשלה היחידה של ישראל עד היום?,Who is Israel's only female Prime Minister to date?,גולדה מאיר,שרה נתניהו,צביה שפירא,Golda Meir,Sarah Netanyahu,Tzvia Shapira,0
israeli_history,12-13,מה שם בית המחוקקים של ישראל?,What is Israel's legislative body called?,הכנסת,הממשלה,בית המשפט העליון,The Knesset,The Government,The Supreme Court,0
israeli_history,12-13,באיזה חודש עברי חוגגים את יום העצמאות?,In which Hebrew month is Independence Day celebrated?,אייר,ניסן,תשרי,Iyar,Nisan,Tishrei,0
israeli_history,14-16,"מי כתב את ""מדינת היהודים"" והקים את התנועה הציונית?","Who wrote ""The Jewish State"" and founded the Zionist movement?",תאודור הרצל,חיים ויצמן,זאב ז'בוטינסקי,Theodor Herzl,Chaim Weizmann,Ze'ev Jabotinsky,0
israeli_history,14-16,"באיזו מלחמה, ב-1973, הותקפה ישראל ביום כיפור?",What was the 1973 war in which Israel was attacked on Yom Kippur called?,מלחמת יום כיפור,מלחמת ששת הימים,מלחמת לבנון הראשונה,The Yom Kippur War,The Six-Day War,The First Lebanon War,0
israeli_history,14-16,מה שם ההסכם שנחתם עם מצרים ב-1979?,What was the agreement signed with Egypt in 1979 called?,הסכם השלום עם מצרים,הסכם אוסלו,הסכם וואי פלנטיישן,The Egypt-Israel peace treaty,The Oslo Accords,The Wye River Memorandum,0
israeli_history,14-16,באיזו שנה אוחדה ירושלים?,In what year was Jerusalem reunified?,1967,1956,1973,1967,1956,1973,0
israeli_history,14-16,מה שם המסמך שבו הוכרזה הקמת המדינה?,What is the document declaring the state's establishment called?,מגילת העצמאות,חוק השבות,חוק יסוד: כבוד האדם,The Declaration of Independence,The Law of Return,Basic Law: Human Dignity,0
israeli_history,14-16,מי היה נשיא המדינה הראשון?,Who was Israel's first president?,חיים ויצמן,דוד בן-גוריון,יצחק בן-צבי,Chaim Weizmann,David Ben-Gurion,Yitzhak Ben-Zvi,0
general_knowledge,10-11,כמה ימים יש בשבוע?,How many days are there in a week?,7,5,10,7,5,10,0
general_knowledge,10-11,מה צבע השמיים ביום בהיר?,What color is the sky on a clear day?,כחול,ירוק,אפור,Blue,Green,Gray,0
general_knowledge,10-11,"איזו חיה נחשבת ל""מלך החיות""?","Which animal is called the ""king of the animals""?",אריה,נמר,דוב,Lion,Tiger,Bear,0
general_knowledge,10-11,כמה חודשים יש בשנה?,How many months are there in a year?,12,10,14,12,10,14,0
general_knowledge,10-11,באיזו יבשת נמצאת מצרים?,Which continent is Egypt located in?,אפריקה,אירופה,אסיה,Africa,Europe,Asia,0
general_knowledge,10-11,איזו שפה מדברים בצרפת?,What language is spoken in France?,צרפתית,איטלקית,ספרדית,French,Italian,Spanish,0
general_knowledge,12-13,מה שם האוקיינוס הגדול בעולם?,What is the largest ocean in the world called?,האוקיינוס השקט,האוקיינוס האטלנטי,האוקיינוס ההודי,The Pacific Ocean,The Atlantic Ocean,The Indian Ocean,0
general_knowledge,12-13,כמה יבשות יש בעולם?,How many continents are there in the world?,7,5,10,7,5,10,0
general_knowledge,12-13,מי צייר את המונה ליזה?,Who painted the Mona Lisa?,לאונרדו דה וינצ'י,פיקאסו,ואן גוך,Leonardo da Vinci,Picasso,Van Gogh,0
general_knowledge,12-13,מהי בירת יפן?,What is the capital of Japan?,טוקיו,אוסקה,קיוטו,Tokyo,Osaka,Kyoto,0
general_knowledge,12-13,איזו מתכת נוזלית בטמפרטורת החדר?,Which metal is liquid at room temperature?,כספית,ברזל,עופרת,Mercury,Iron,Lead,0
general_knowledge,12-13,כמה שחקנים יש בקבוצת כדורגל על המגרש?,How many players does a soccer team have on the field?,11,9,12,11,9,12,0
general_knowledge,14-16,"מי כתב את ""רומיאו ויוליה""?","Who wrote ""Romeo and Juliet""?",וויליאם שייקספיר,צ'ארלס דיקנס,מארק טוויין,William Shakespeare,Charles Dickens,Mark Twain,0
general_knowledge,14-16,מהו ההר הגבוה בעולם?,What is the highest mountain in the world?,הר האוורסט,הר קילימנג'רו,הר פוג'י,Mount Everest,Mount Kilimanjaro,Mount Fuji,0
general_knowledge,14-16,באיזו שנה נחת האדם הראשון על הירח?,In what year did humans first land on the moon?,1969,1965,1972,1969,1965,1972,0
general_knowledge,14-16,מהי בירת אוסטרליה?,What is the capital of Australia?,קנברה,סידני,מלבורן,Canberra,Sydney,Melbourne,0
general_knowledge,14-16,מי המציא את הטלפון?,Who invented the telephone?,אלכסנדר גרהם בל,תומאס אדיסון,ניקולה טסלה,Alexander Graham Bell,Thomas Edison,Nikola Tesla,0
general_knowledge,14-16,מהי המדינה הגדולה בעולם משטח?,What is the largest country in the world by area?,רוסיה,קנדה,סין,Russia,Canada,China,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""כלב""?","What is the correct English translation of the Hebrew word ""כלב""?",Dog,Cat,Bird,Dog,Cat,Bird,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""בית""?","What is the correct English translation of the Hebrew word ""בית""?",House,Car,Tree,House,Car,Tree,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""שמש""?","What is the correct English translation of the Hebrew word ""שמש""?",Sun,Moon,Star,Sun,Moon,Star,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""מים""?","What is the correct English translation of the Hebrew word ""מים""?",Water,Fire,Sand,Water,Fire,Sand,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""ספר""?","What is the correct English translation of the Hebrew word ""ספר""?",Book,Pen,Bag,Book,Pen,Bag,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""חתול""?","What is the correct English translation of the Hebrew word ""חתול""?",Cat,Dog,Mouse,Cat,Dog,Mouse,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""אכל""?","What is the correct English translation of the Hebrew word ""אכל""?",Ate,Ran,Slept,Ate,Ran,Slept,0
english_vocabulary,10-11,"מה התרגום הנכון לאנגלית של המילה ""גדול""?","What is the correct English translation of the Hebrew word ""גדול""?",Big,Small,Fast,Big,Small,Fast,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""להתחיל""?","What is the correct English translation of the Hebrew word ""להתחיל""?",To begin,To finish,To wait,To begin,To finish,To wait,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""חכם""?","What is the correct English translation of the Hebrew word ""חכם""?",Smart,Tired,Angry,Smart,Tired,Angry,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""להסביר""?","What is the correct English translation of the Hebrew word ""להסביר""?",To explain,To hide,To forget,To explain,To hide,To forget,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""חופשה""?","What is the correct English translation of the Hebrew word ""חופשה""?",Vacation,Homework,Meeting,Vacation,Homework,Meeting,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""להצליח""?","What is the correct English translation of the Hebrew word ""להצליח""?",To succeed,To fail,To stop,To succeed,To fail,To stop,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""מסוכן""?","What is the correct English translation of the Hebrew word ""מסוכן""?",Dangerous,Boring,Cheap,Dangerous,Boring,Cheap,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""להשוות""?","What is the correct English translation of the Hebrew word ""להשוות""?",To compare,To copy,To sell,To compare,To copy,To sell,0
english_vocabulary,12-13,"מה התרגום הנכון לאנגלית של המילה ""אחראי""?","What is the correct English translation of the Hebrew word ""אחראי""?",Responsible,Lazy,Shy,Responsible,Lazy,Shy,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""להשיג""?","What is the correct English translation of the Hebrew word ""להשיג""?",To achieve,To avoid,To delay,To achieve,To avoid,To delay,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""משמעותי""?","What is the correct English translation of the Hebrew word ""משמעותי""?",Significant,Random,Temporary,Significant,Random,Temporary,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""להתמודד""?","What is the correct English translation of the Hebrew word ""להתמודד""?",To cope,To ignore,To celebrate,To cope,To ignore,To celebrate,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""עקבי""?","What is the correct English translation of the Hebrew word ""עקבי""?",Consistent,Occasional,Reluctant,Consistent,Occasional,Reluctant,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""יעיל""?","What is the correct English translation of the Hebrew word ""יעיל""?",Efficient,Wasteful,Fragile,Efficient,Wasteful,Fragile,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""להניח""?","What is the correct English translation of the Hebrew word ""להניח""?",To assume,To prove,To deny,To assume,To prove,To deny,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""מורכב""?","What is the correct English translation of the Hebrew word ""מורכב""?",Complex,Simple,Obvious,Complex,Simple,Obvious,0
english_vocabulary,14-16,"מה התרגום הנכון לאנגלית של המילה ""להשפיע""?","What is the correct English translation of the Hebrew word ""להשפיע""?",To influence,To observe,To measure,To influence,To observe,To measure,0
math,10-11,כמה זה 24 פחות 13?,What is 24 minus 13?,11,8,17,11,8,17,0
math,10-11,כמה זה 41 ועוד 38?,What is 41 plus 38?,79,75,70,79,75,70,0
math,10-11,כמה זה 85 ועוד 64?,What is 85 plus 64?,149,145,140,149,145,140,0
math,10-11,כמה זה 37 ועוד 39?,What is 37 plus 39?,76,73,85,76,73,85,0
math,10-11,כמה זה 67 פחות 38?,What is 67 minus 38?,29,26,35,29,26,35,0
math,10-11,כמה זה 30 פחות 10?,What is 30 minus 10?,20,17,26,20,17,26,0
math,10-11,כמה זה 53 ועוד 45?,What is 53 plus 45?,98,95,105,98,95,105,0
math,10-11,כמה זה 23 פחות 21?,What is 23 minus 21?,2,1,8,2,1,8,0
math,10-11,כמה זה 55 פחות 22?,What is 55 minus 22?,33,30,39,33,30,39,0
math,10-11,כמה זה 87 ועוד 43?,What is 87 plus 43?,130,134,121,130,134,121,0
math,10-11,כמה זה 58 פחות 20?,What is 58 minus 20?,38,35,44,38,35,44,0
math,10-11,כמה זה 83 ועוד 34?,What is 83 plus 34?,117,113,110,117,113,110,0
math,10-11,כמה זה 47 ועוד 20?,What is 47 plus 20?,67,63,76,67,63,76,0
math,10-11,כמה זה 68 פחות 45?,What is 68 minus 45?,23,20,29,23,20,29,0
math,10-11,כמה זה 57 פחות 30?,What is 57 minus 30?,27,24,33,27,24,33,0
math,10-11,כמה זה 36 ועוד 44?,What is 36 plus 44?,80,77,73,80,77,73,0
math,10-11,כמה זה 69 פחות 30?,What is 69 minus 30?,39,36,45,39,36,45,0
math,10-11,כמה זה 44 ועוד 81?,What is 44 plus 81?,125,128,116,125,128,116,0
math,10-11,כמה זה 39 פחות 14?,What is 39 minus 14?,25,22,31,25,22,31,0
math,10-11,כמה זה 61 ועוד 44?,What is 61 plus 44?,105,102,112,105,102,112,0
math,10-11,כמה זה 73 פחות 37?,What is 73 minus 37?,36,33,42,36,33,42,0
math,10-11,כמה זה 68 פחות 28?,What is 68 minus 28?,40,37,46,40,37,46,0
math,10-11,כמה זה 41 פחות 27?,What is 41 minus 27?,14,11,20,14,11,20,0
math,10-11,כמה זה 84 פחות 64?,What is 84 minus 64?,20,17,26,20,17,26,0
math,10-11,כמה זה 56 ועוד 38?,What is 56 plus 38?,94,98,85,94,98,85,0
math,10-11,כמה זה 16 ועוד 24?,What is 16 plus 24?,40,37,49,40,37,49,0
math,10-11,כמה זה 86 פחות 18?,What is 86 minus 18?,68,65,74,68,65,74,0
math,10-11,כמה זה 86 פחות 58?,What is 86 minus 58?,28,25,34,28,25,34,0
math,10-11,כמה זה 77 ועוד 42?,What is 77 plus 42?,119,115,126,119,115,126,0
math,10-11,כמה זה 53 פחות 24?,What is 53 minus 24?,29,26,35,29,26,35,0
math,10-11,כמה זה 65 פחות 30?,What is 65 minus 30?,35,32,41,35,32,41,0
math,10-11,כמה זה 10 ועוד 43?,What is 10 plus 43?,53,49,60,53,49,60,0
math,10-11,כמה זה 74 ועוד 87?,What is 74 plus 87?,161,158,168,161,158,168,0
math,10-11,כמה זה 30 ועוד 79?,What is 30 plus 79?,109,112,118,109,112,118,0
math,10-11,כמה זה 24 פחות 12?,What is 24 minus 12?,12,9,18,12,9,18,0
math,10-11,כמה זה 49 ועוד 40?,What is 49 plus 40?,89,86,80,89,86,80,0
math,10-11,כמה זה 20 ועוד 72?,What is 20 plus 72?,92,89,85,92,89,85,0
math,10-11,כמה זה 70 ועוד 80?,What is 70 plus 80?,150,153,159,150,153,159,0
math,10-11,כמה זה 37 ועוד 79?,What is 37 plus 79?,116,119,125,116,119,125,0
math,10-11,כמה זה 66 פחות 57?,What is 66 minus 57?,9,6,15,9,6,15,0
math,10-11,כמה זה 25 ועוד 41?,What is 25 plus 41?,66,62,73,66,62,73,0
math,10-11,כמה זה 12 ועוד 85?,What is 12 plus 85?,97,94,88,97,94,88,0
math,10-11,כמה זה 19 ועוד 90?,What is 19 plus 90?,109,106,100,109,106,100,0
math,10-11,כמה זה 14 ועוד 52?,What is 14 plus 52?,66,63,73,66,63,73,0
math,10-11,כמה זה 72 ועוד 37?,What is 72 plus 37?,109,113,102,109,113,102,0
math,10-11,כמה זה 70 ועוד 62?,What is 70 plus 62?,132,128,123,132,128,123,0
math,10-11,כמה זה 65 פחות 55?,What is 65 minus 55?,10,7,16,10,7,16,0
math,10-11,כמה זה 62 ועוד 69?,What is 62 plus 69?,131,127,122,131,127,122,0
math,10-11,כמה זה 61 ועוד 53?,What is 61 plus 53?,114,111,107,114,111,107,0
math,10-11,כמה זה 5 כפול 10?,What is 5 times 10?,50,55,40,50,55,40,0
math,10-11,כמה זה 9 כפול 4?,What is 9 times 4?,36,45,32,36,45,32,0
math,10-11,כמה זה 8 כפול 4?,What is 8 times 4?,32,40,28,32,40,28,0
math,10-11,כמה זה 6 כפול 9?,What is 6 times 9?,54,60,45,54,60,45,0
math,10-11,כמה זה 5 כפול 3?,What is 5 times 3?,15,20,12,15,20,12,0
math,10-11,כמה זה 9 כפול 10?,What is 9 times 10?,90,99,80,90,99,80,0
math,10-11,כמה זה 3 כפול 2?,What is 3 times 2?,6,9,4,6,9,4,0
math,10-11,כמה זה 12 כפול 10?,What is 12 times 10?,120,132,110,120,132,110,0
math,10-11,כמה זה 2 כפול 3?,What is 2 times 3?,6,8,3,6,8,3,0
math,10-11,כמה זה 5 כפול 4?,What is 5 times 4?,20,25,16,20,25,16,0
math,10-11,כמה זה 8 כפול 9?,What is 8 times 9?,72,80,63,72,80,63,0
math,10-11,כמה זה 9 כפול 5?,What is 9 times 5?,45,54,40,45,54,40,0
math,10-11,כמה זה 8 כפול 2?,What is 8 times 2?,16,24,14,16,24,14,0
math,10-11,כמה זה 4 כפול 8?,What is 4 times 8?,32,36,24,32,36,24,0
math,10-11,כמה זה 2 כפול 8?,What is 2 times 8?,16,18,8,16,18,8,0
math,10-11,כמה זה 6 כפול 8?,What is 6 times 8?,48,54,40,48,54,40,0
math,10-11,כמה זה 10 כפול 12?,What is 10 times 12?,120,130,108,120,130,108,0
math,10-11,כמה זה 5 כפול 6?,What is 5 times 6?,30,35,24,30,35,24,0
math,10-11,כמה זה 5 כפול 2?,What is 5 times 2?,10,15,8,10,15,8,0
math,10-11,כמה זה 11 כפול 10?,What is 11 times 10?,110,121,100,110,121,100,0
math,10-11,כמה זה 2 כפול 7?,What is 2 times 7?,14,16,7,14,16,7,0
math,10-11,כמה זה 2 כפול 2?,What is 2 times 2?,4,6,2,4,6,2,0
math,10-11,כמה זה 11 כפול 9?,What is 11 times 9?,99,110,90,99,110,90,0
math,10-11,כמה זה 10 כפול 10?,What is 10 times 10?,100,110,90,100,110,90,0
math,10-11,כמה זה 4 כפול 2?,What is 4 times 2?,8,12,6,8,12,6,0
math,10-11,כמה זה 10 כפול 3?,What is 10 times 3?,30,40,27,30,40,27,0
math,10-11,כמה זה 12 חלקי 4?,What is 12 divided by 4?,3,4,2,3,4,2,0
math,10-11,כמה זה 36 חלקי 3?,What is 36 divided by 3?,12,13,11,12,13,11,0
math,10-11,כמה זה 40 חלקי 5?,What is 40 divided by 5?,8,9,7,8,9,7,0
math,10-11,כמה זה 33 חלקי 3?,What is 33 divided by 3?,11,12,10,11,12,10,0
math,10-11,כמה זה 55 חלקי 5?,What is 55 divided by 5?,11,12,10,11,12,10,0
math,10-11,כמה זה 22 חלקי 2?,What is 22 divided by 2?,11,12,10,11,12,10,0
math,10-11,כמה זה 24 חלקי 3?,What is 24 divided by 3?,8,9,7,8,9,7,0
math,10-11,כמה זה 70 חלקי 10?,What is 70 divided by 10?,7,8,6,7,8,6,0
math,10-11,כמה זה 30 חלקי 6?,What is 30 divided by 6?,5,6,4,5,6,4,0
math,10-11,כמה זה 35 חלקי 7?,What is 35 divided by 7?,5,6,4,5,6,4,0
math,10-11,כמה זה 48 חלקי 6?,What is 48 divided by 6?,8,9,7,8,9,7,0
math,10-11,כמה זה 48 חלקי 4?,What is 48 divided by 4?,12,13,11,12,13,11,0
math,10-11,כמה זה 54 חלקי 6?,What is 54 divided by 6?,9,10,8,9,10,8,0
math,10-11,כמה זה 21 חלקי 7?,What is 21 divided by 7?,3,4,2,3,4,2,0
math,10-11,כמה זה 18 חלקי 2?,What is 18 divided by 2?,9,10,8,9,10,8,0
math,10-11,כמה זה 9 חלקי 3?,What is 9 divided by 3?,3,4,2,3,4,2,0
math,10-11,כמה זה 50 חלקי 10?,What is 50 divided by 10?,5,6,4,5,6,4,0
math,10-11,כמה זה 60 חלקי 10?,What is 60 divided by 10?,6,7,5,6,7,5,0
math,12-13,כמה זה 20% מ-50?,What is 20% of 50?,10,12,6,10,12,6,0
math,12-13,כמה זה 15% מ-40?,What is 15% of 40?,6,8,2,6,8,2,0
math,12-13,כמה זה 20% מ-100?,What is 20% of 100?,20,25,10,20,25,10,0
math,12-13,כמה זה 25% מ-52?,What is 25% of 52?,13,15,9,13,15,9,0
math,12-13,כמה זה 75% מ-200?,What is 75% of 200?,150,160,130,150,160,130,0
math,12-13,כמה זה 50% מ-80?,What is 50% of 80?,40,44,32,40,44,32,0
math,12-13,כמה זה 10% מ-200?,What is 10% of 200?,20,30,0,20,30,0,0
math,12-13,כמה זה 20% מ-200?,What is 20% of 200?,40,50,20,40,50,20,0
math,12-13,כמה זה 10% מ-80?,What is 10% of 80?,8,12,0,8,12,0,0
math,12-13,כמה זה 75% מ-40?,What is 75% of 40?,30,32,26,30,32,26,0
math,12-13,כמה זה 15% מ-200?,What is 15% of 200?,30,40,10,30,40,10,0
math,12-13,כמה זה 20% מ-80?,What is 20% of 80?,16,20,8,16,20,8,0
math,12-13,כמה זה 75% מ-60?,What is 75% of 60?,45,48,39,45,48,39,0
math,12-13,כמה זה 15% מ-100?,What is 15% of 100?,15,20,5,15,20,5,0
math,12-13,כמה זה 20% מ-150?,What is 20% of 150?,30,37,16,30,37,16,0
math,12-13,כמה זה 10% מ-20?,What is 10% of 20?,2,3,0,2,3,0,0
math,12-13,כמה זה 20% מ-120?,What is 20% of 120?,24,30,12,24,30,12,0
math,12-13,מהו הערך של x במשוואה: 4x + 3 = 31. מה x?,Solve: 4x + 3 = 31. What is x?,7,8,5,7,8,5,0
math,12-13,מהו הערך של x במשוואה: 5x + 8 = 28. מה x?,Solve: 5x + 8 = 28. What is x?,4,5,2,4,5,2,0
math,12-13,מהו הערך של x במשוואה: 2x + 1 = 21. מה x?,Solve: 2x + 1 = 21. What is x?,10,11,8,10,11,8,0
math,12-13,מהו הערך של x במשוואה: 2x + 3 = 9. מה x?,Solve: 2x + 3 = 9. What is x?,3,4,1,3,4,1,0
math,12-13,מהו הערך של x במשוואה: 3x + 6 = 51. מה x?,Solve: 3x + 6 = 51. What is x?,15,16,13,15,16,13,0
math,12-13,מהו הערך של x במשוואה: 2x + 3 = 19. מה x?,Solve: 2x + 3 = 19. What is x?,8,9,6,8,9,6,0
math,12-13,מהו הערך של x במשוואה: 2x + 6 = 18. מה x?,Solve: 2x + 6 = 18. What is x?,6,7,4,6,7,4,0
math,12-13,מהו הערך של x במשוואה: 3x + 4 = 25. מה x?,Solve: 3x + 4 = 25. What is x?,7,8,5,7,8,5,0
math,12-13,מהו הערך של x במשוואה: 4x + 2 = 50. מה x?,Solve: 4x + 2 = 50. What is x?,12,13,10,12,13,10,0
math,12-13,מהו הערך של x במשוואה: 5x + 9 = 79. מה x?,Solve: 5x + 9 = 79. What is x?,14,15,12,14,15,12,0
math,12-13,מהו הערך של x במשוואה: 3x + 3 = 36. מה x?,Solve: 3x + 3 = 36. What is x?,11,12,9,11,12,9,0
math,12-13,מהו הערך של x במשוואה: 3x + 3 = 48. מה x?,Solve: 3x + 3 = 48. What is x?,15,16,13,15,16,13,0
math,12-13,מהו הערך של x במשוואה: 3x + 1 = 25. מה x?,Solve: 3x + 1 = 25. What is x?,8,9,6,8,9,6,0
math,12-13,מהו הערך של x במשוואה: 5x + 6 = 71. מה x?,Solve: 5x + 6 = 71. What is x?,13,14,11,13,14,11,0
math,12-13,מהו הערך של x במשוואה: 4x + 4 = 60. מה x?,Solve: 4x + 4 = 60. What is x?,14,15,12,14,15,12,0
math,12-13,מהו הערך של x במשוואה: 5x + 2 = 22. מה x?,Solve: 5x + 2 = 22. What is x?,4,5,2,4,5,2,0
